	V1	error	rep	config	gwas_size	test_size	L	type
339	3	0.915597042357826	D15	C1	1000	1000	1320	FGr
340	4	0.785441530127899	D15	C1	1000	1000	2100	FGr
341	5	0.741495898643982	D15	C1	1000	1000	3400	FGr
342	6	0.649587991043605	D15	C1	1000	1000	5500	FGr
343	7	0.523066255833658	D15	C1	1000	1000	9000	FGr
344	8	0.410542175194964	D15	C1	1000	1000	14600	FGr
345	9	0.286629091338994	D15	C1	1000	1000	23600	FGr
346	10	0.207998491374506	D15	C1	1000	1000	38200	FGr
347	11	0.140919066889452	D15	C1	1000	1000	61800	FGr
348	12	0.0954518283433906	D15	C1	1000	1000	1e+05	FGr
349	13	0.999828114472947	D15	C1	1000	1000	500	PC1
350	14	0.991996956100391	D15	C1	1000	1000	810	PC1
351	15	0.978337262412409	D15	C1	1000	1000	1320	PC1
352	16	0.973894742353801	D15	C1	1000	1000	2100	PC1
353	17	0.858889633645408	D15	C1	1000	1000	3400	PC1
354	18	0.733420664092319	D15	C1	1000	1000	5500	PC1
355	19	0.449635350641785	D15	C1	1000	1000	9000	PC1
356	20	0.293480520871288	D15	C1	1000	1000	14600	PC1
357	21	0.180101427730268	D15	C1	1000	1000	23600	PC1
358	22	0.108754633883829	D15	C1	1000	1000	38200	PC1
359	23	0.069000205694956	D15	C1	1000	1000	61800	PC1
360	24	0.0448212581712609	D15	C1	1000	1000	1e+05	PC1
361	1	0.944504251598466	D16	C1	1000	1000	500	FGr
362	2	0.894135586067003	D16	C1	1000	1000	810	FGr
363	3	0.85028561809323	D16	C1	1000	1000	1320	FGr
364	4	0.839333828633363	D16	C1	1000	1000	2100	FGr
365	5	0.749054027220976	D16	C1	1000	1000	3400	FGr
366	6	0.627180903688472	D16	C1	1000	1000	5500	FGr
367	7	0.568539466479655	D16	C1	1000	1000	9000	FGr
368	8	0.381723655320175	D16	C1	1000	1000	14600	FGr
369	9	0.307014828857001	D16	C1	1000	1000	23600	FGr
370	10	0.214723264162061	D16	C1	1000	1000	38200	FGr
371	11	0.140548206547704	D16	C1	1000	1000	61800	FGr
372	12	0.0951697935346822	D16	C1	1000	1000	1e+05	FGr
373	13	0.99635082791698	D16	C1	1000	1000	500	PC1
374	14	0.998051677569949	D16	C1	1000	1000	810	PC1
375	15	0.99727541101573	D16	C1	1000	1000	1320	PC1
376	16	0.971054993193277	D16	C1	1000	1000	2100	PC1
377	17	0.97390565113085	D16	C1	1000	1000	3400	PC1
