	FGr	10	35	100	rep	gwas_size	test_size	test	L
116	0.109958938546628	0.0867240713597297	0.0544544443402311	0.0454149338436116	A8	2160	720	PS	10000
117	0.118457355715492	0.088375093691155	0.0564966125193124	0.0488023228076722	A8	2160	720	PS	9000
118	0.140440275946611	0.0861121728226287	0.0616528716072702	0.0523995663012934	A8	2160	720	PS	8000
119	0.149157888268451	0.0902391992967666	0.0693419306703579	0.0599309563961485	A8	2160	720	PS	7000
120	0.177876931122632	0.108434113449908	0.0809673593291491	0.0674158725253077	A8	2160	720	PS	6000
121	0.0532916884162141	0.07057482337121	0.0286134559438814	0.0252796338058743	A9	2160	720	PS	20000
122	0.0554798063102127	0.0723191683676301	0.0304562383257069	0.0268656261118165	A9	2160	720	PS	19000
123	0.0599355608287279	0.0750157749528417	0.0317198743557829	0.0280206340154289	A9	2160	720	PS	18000
124	0.0659484862708715	0.0751856035570669	0.0337884342877939	0.0301910795789528	A9	2160	720	PS	17000
125	0.0667898193832683	0.0745148784240383	0.0354817695416937	0.0322469025276164	A9	2160	720	PS	16000
126	0.0715141995039516	0.0733608266542969	0.0359065695159201	0.0319611757160033	A9	2160	720	PS	15000
127	0.0728081820459434	0.0780067324184771	0.0398259670814173	0.0345015879194883	A9	2160	720	PS	14000
128	0.0823411197004776	0.0791850994118247	0.0418277783812818	0.036263186197048	A9	2160	720	PS	13000
129	0.0894619044217451	0.079645032211455	0.0437558594525927	0.038649356175208	A9	2160	720	PS	12000
130	0.0987658419248357	0.0818326038266049	0.0478313857797643	0.0406589320259364	A9	2160	720	PS	11000
131	0.0913089567374696	0.0828945000340136	0.0476889795529145	0.0414858841217125	A9	2160	720	PS	10000
132	0.110587865195149	0.0877268244679812	0.0588255983880668	0.0490750055440631	A9	2160	720	PS	9000
133	0.115880461097146	0.0868657694922045	0.0613517802029343	0.0525628895230073	A9	2160	720	PS	8000
134	0.150272082622072	0.100202271102125	0.0730407463632077	0.0640027002753522	A9	2160	720	PS	7000
135	0.171135323464678	0.10922877257189	0.080028775650527	0.0710444756922136	A9	2160	720	PS	6000
136	0.0506746422012958	0.0739847832034205	0.0265866223283264	0.0238017523516979	A10	2160	720	PS	20000
137	0.0560226501581038	0.0743048168894648	0.0284553427514044	0.025468256896179	A10	2160	720	PS	19000
138	0.0576729849006324	0.0759652488432747	0.0306060476723937	0.0273858705858351	A10	2160	720	PS	18000
139	0.0611589644574559	0.0746546562359638	0.0317874114174533	0.0279364043429784	A10	2160	720	PS	17000
140	0.0621002867375966	0.0753148760686598	0.0328039935437953	0.0287978648642282	A10	2160	720	PS	16000
141	0.0655548794079729	0.0773075094494055	0.0358333784254337	0.0310089785583538	A10	2160	720	PS	15000
142	0.0680192301076756	0.0786697154390224	0.0382140890776952	0.0339406848336513	A10	2160	720	PS	14000
143	0.0767090109123301	0.086341960002688	0.0424240103442162	0.0369762630872846	A10	2160	720	PS	13000
144	0.0824844897434397	0.0820775802278872	0.042714028854852	0.037554055389996	A10	2160	720	PS	12000
145	0.0880367831510621	0.0879059704351949	0.0468182884800682	0.0415087011427978	A10	2160	720	PS	11000
146	0.101306412275857	0.0870306545249366	0.0538762833986425	0.0466538975637985	A10	2160	720	PS	10000
147	0.106630637909584	0.0932408022783594	0.0540532950220996	0.0484031172972582	A10	2160	720	PS	9000
148	0.126878568061828	0.0898852796835468	0.0600514918745935	0.0519560368105946	A10	2160	720	PS	8000
149	0.134118947817487	0.0994288155988509	0.0653738230933483	0.0580089763880706	A10	2160	720	PS	7000
150	0.153080853838342	0.10353474592737	0.0697086049447941	0.0623813465289738	A10	2160	720	PS	6000
151	0.0573779416214234	0.0729784935154538	0.0279475323546277	0.0245614334184416	A11	2160	720	PS	20000
152	0.0595252680819762	0.0725582961020105	0.0284534574419173	0.0246695012341006	A11	2160	720	PS	19000
