	V1	error	rep	config	gwas_size	test_size	L	type
186	42	0.999837659886545	B4	C2	1000	10000	10000	PC1
187	43	0.999926851759738	B4	C2	10000	100	1000	PC1
188	44	0.999976848704571	B4	C2	10000	100	10000	PC1
189	45	0.999572816737707	B4	C2	10000	1000	1000	PC1
190	46	0.999967868166431	B4	C2	10000	1000	10000	PC1
191	47	0.999993006663562	B4	C2	10000	10000	1000	PC1
192	48	0.999690538263441	B4	C2	10000	10000	10000	PC1
193	1	0.202784933512725	B5	C1	1000	100	1000	FGr
194	2	0.0206660279828425	B5	C1	1000	100	10000	FGr
195	3	0.12694487343192	B5	C1	1000	1000	1000	FGr
196	4	0.0130382633646808	B5	C1	1000	1000	10000	FGr
197	5	0.103708757349035	B5	C1	1000	10000	1000	FGr
198	6	0.0110112012626769	B5	C1	1000	10000	10000	FGr
199	7	0.202562802635663	B5	C1	10000	100	1000	FGr
200	8	0.0233724349029592	B5	C1	10000	100	10000	FGr
201	9	0.114359751638095	B5	C1	10000	1000	1000	FGr
202	10	0.0119358927110317	B5	C1	10000	1000	10000	FGr
203	11	0.106730043970926	B5	C1	10000	10000	1000	FGr
204	12	0.0111694579488679	B5	C1	10000	10000	10000	FGr
205	13	0.995105586213388	B5	C2	1000	100	1000	FGr
206	14	0.999960530091969	B5	C2	1000	100	10000	FGr
207	15	0.998404087612234	B5	C2	1000	1000	1000	FGr
208	16	0.999989292814965	B5	C2	1000	1000	10000	FGr
209	17	0.999755429185327	B5	C2	1000	10000	1000	FGr
210	18	0.9999993786816	B5	C2	1000	10000	10000	FGr
211	19	0.999999673071387	B5	C2	10000	100	1000	FGr
212	20	0.999961344326525	B5	C2	10000	100	10000	FGr
213	21	0.999938668194182	B5	C2	10000	1000	1000	FGr
214	22	0.999983338017653	B5	C2	10000	1000	10000	FGr
215	23	0.999957832578112	B5	C2	10000	10000	1000	FGr
216	24	0.999929140430593	B5	C2	10000	10000	10000	FGr
217	25	0.112068694535208	B5	C1	1000	100	1000	PC1
218	26	0.0121043034214937	B5	C1	1000	100	10000	PC1
219	27	0.127327131258096	B5	C1	1000	1000	1000	PC1
220	28	0.0126893764589772	B5	C1	1000	1000	10000	PC1
221	29	0.115688519893782	B5	C1	1000	10000	1000	PC1
222	30	0.0127992488579572	B5	C1	1000	10000	10000	PC1
223	31	0.103971118050584	B5	C1	10000	100	1000	PC1
224	32	0.0113520392033377	B5	C1	10000	100	10000	PC1
225	33	0.106482135986511	B5	C1	10000	1000	1000	PC1
226	34	0.0110094264487572	B5	C1	10000	1000	10000	PC1
227	35	0.106682933519166	B5	C1	10000	10000	1000	PC1
228	36	0.0111628639903945	B5	C1	10000	10000	10000	PC1
229	37	0.997645125588076	B5	C2	1000	100	1000	PC1
