	V1	error	rep	config	gwas_size	test_size	L	type
295	7	0.928695249339732	C13	C1	1000	1000	9000	FGr
296	8	0.896846396936087	C13	C1	1000	1000	14600	FGr
297	9	0.886149226630987	C13	C1	1000	1000	23600	FGr
298	10	0.803479275046846	C13	C1	1000	1000	38200	FGr
299	11	0.717899859571842	C13	C1	1000	1000	61800	FGr
300	12	0.609296052838004	C13	C1	1000	1000	1e+05	FGr
301	13	0.989151818594035	C13	C1	1000	1000	500	PC1
302	14	0.992918535646694	C13	C1	1000	1000	810	PC1
303	15	0.977912907278797	C13	C1	1000	1000	1320	PC1
304	16	0.965041505147259	C13	C1	1000	1000	2100	PC1
305	17	0.915628603938734	C13	C1	1000	1000	3400	PC1
306	18	0.562575758604412	C13	C1	1000	1000	5500	PC1
307	19	0.401471355478843	C13	C1	1000	1000	9000	PC1
308	20	0.266202724594482	C13	C1	1000	1000	14600	PC1
309	21	0.190858282982073	C13	C1	1000	1000	23600	PC1
310	22	0.106492057667561	C13	C1	1000	1000	38200	PC1
311	23	0.0697313524466561	C13	C1	1000	1000	61800	PC1
312	24	0.0414129111447159	C13	C1	1000	1000	1e+05	PC1
313	1	0.996372649265	C14	C1	1000	1000	500	FGr
314	2	0.991016610230727	C14	C1	1000	1000	810	FGr
315	3	0.999513295078904	C14	C1	1000	1000	1320	FGr
316	4	0.982685090052064	C14	C1	1000	1000	2100	FGr
317	5	0.978638376701425	C14	C1	1000	1000	3400	FGr
318	6	0.95333301615135	C14	C1	1000	1000	5500	FGr
319	7	0.952404010405212	C14	C1	1000	1000	9000	FGr
320	8	0.913495723901498	C14	C1	1000	1000	14600	FGr
321	9	0.876883004263652	C14	C1	1000	1000	23600	FGr
322	10	0.732491289148665	C14	C1	1000	1000	38200	FGr
323	11	0.707980818631814	C14	C1	1000	1000	61800	FGr
324	12	0.579570328864717	C14	C1	1000	1000	1e+05	FGr
325	13	0.977480514237301	C14	C1	1000	1000	500	PC1
326	14	0.987125603218424	C14	C1	1000	1000	810	PC1
327	15	0.999926829863615	C14	C1	1000	1000	1320	PC1
328	16	0.916931235099203	C14	C1	1000	1000	2100	PC1
329	17	0.914955748536328	C14	C1	1000	1000	3400	PC1
330	18	0.547533731704936	C14	C1	1000	1000	5500	PC1
331	19	0.378534699081198	C14	C1	1000	1000	9000	PC1
332	20	0.261138657988217	C14	C1	1000	1000	14600	PC1
333	21	0.184071866458061	C14	C1	1000	1000	23600	PC1
334	22	0.108150067736227	C14	C1	1000	1000	38200	PC1
335	23	0.0730053077560013	C14	C1	1000	1000	61800	PC1
336	24	0.0414997371080875	C14	C1	1000	1000	1e+05	PC1
337	1	0.999872357579532	C15	C1	1000	1000	500	FGr
338	2	0.997003822715814	C15	C1	1000	1000	810	FGr
339	3	0.997066589988294	C15	C1	1000	1000	1320	FGr
340	4	0.980741503296387	C15	C1	1000	1000	2100	FGr
341	5	0.985173443182495	C15	C1	1000	1000	3400	FGr
342	6	0.977934167446075	C15	C1	1000	1000	5500	FGr
343	7	0.945203911078121	C15	C1	1000	1000	9000	FGr
344	8	0.936128497038711	C15	C1	1000	1000	14600	FGr
345	9	0.891257538846046	C15	C1	1000	1000	23600	FGr
346	10	0.799531563059447	C15	C1	1000	1000	38200	FGr
347	11	0.710267772149547	C15	C1	1000	1000	61800	FGr
348	12	0.626889348912922	C15	C1	1000	1000	1e+05	FGr
349	13	0.993779003318843	C15	C1	1000	1000	500	PC1
350	14	0.997462208100204	C15	C1	1000	1000	810	PC1
351	15	0.967757518745773	C15	C1	1000	1000	1320	PC1
352	16	0.890872590928547	C15	C1	1000	1000	2100	PC1
353	17	0.899028869090494	C15	C1	1000	1000	3400	PC1
354	18	0.669957086880091	C15	C1	1000	1000	5500	PC1
355	19	0.434504369998422	C15	C1	1000	1000	9000	PC1
356	20	0.279259001132707	C15	C1	1000	1000	14600	PC1
357	21	0.161621878855501	C15	C1	1000	1000	23600	PC1
358	22	0.116064361670491	C15	C1	1000	1000	38200	PC1
359	23	0.0668497961436482	C15	C1	1000	1000	61800	PC1
360	24	0.0450079620271181	C15	C1	1000	1000	1e+05	PC1
361	1	0.997753332542588	C16	C1	1000	1000	500	FGr
362	2	0.994787095485652	C16	C1	1000	1000	810	FGr
363	3	0.999825455428173	C16	C1	1000	1000	1320	FGr
364	4	0.999866977236506	C16	C1	1000	1000	2100	FGr
365	5	0.98578683919211	C16	C1	1000	1000	3400	FGr
366	6	0.947729454095818	C16	C1	1000	1000	5500	FGr
367	7	0.90308439633694	C16	C1	1000	1000	9000	FGr
368	8	0.899529680729639	C16	C1	1000	1000	14600	FGr
369	9	0.901550061025029	C16	C1	1000	1000	23600	FGr
370	10	0.823120091146133	C16	C1	1000	1000	38200	FGr
371	11	0.707578103230913	C16	C1	1000	1000	61800	FGr
372	12	0.632696921063378	C16	C1	1000	1000	1e+05	FGr
373	13	0.999039424435386	C16	C1	1000	1000	500	PC1
374	14	0.998948124899484	C16	C1	1000	1000	810	PC1
375	15	0.998681690392319	C16	C1	1000	1000	1320	PC1
376	16	0.918602798711191	C16	C1	1000	1000	2100	PC1
377	17	0.907140914372169	C16	C1	1000	1000	3400	PC1
378	18	0.589171317702757	C16	C1	1000	1000	5500	PC1
379	19	0.403548270479941	C16	C1	1000	1000	9000	PC1
380	20	0.254343883985422	C16	C1	1000	1000	14600	PC1
381	21	0.1790017003447	C16	C1	1000	1000	23600	PC1
